scientificname,scientificnameid,records,phylum,class,order,family,genus,annotation_type,annotation_aphiaid,datasets
Embryophyta,,812,Phragmoplastophyta,Embryophyta,,,,grey/reject habitat,,efa02fe9-6b5b-4173-85e7-912f71921fe7; 2c4f07c6-1c02-4082-88da-9e51b7897f24; 2ac6b17f-3b3a-4e0f-b712-3b640bf79147; 8b0d5fdd-6a3f-48c7-a4aa-84f39f2df647; 74d67d71-2d25-4fa1-9a1e-df71c6af891e; 179aa7bb-d57a-4234-9e71-95607753e8d8; 40d3d980-b417-4f0f-a90a-6b98a0093bc4; b5b9638b-8382-4a0c-9528-a78d3d554dae; fc9c2fcc-42ca-4cf2-95a7-e45cf1f0a5de; 51f0f3ff-39a7-4302-ab26-258bfe614975; d0eeefa4-9d21-4918-a868-7fee1fa863e9; 5dc02afb-4626-4da5-a9f7-5f016230a060; b4668bbe-4b5f-412a-ae1f-1dae3dedb38a; 99659178-978a-4133-952a-1fa821ba8e23; 4afc8df3-31f0-48e9-94f8-534554dbab71; a6e50f41-d5b1-4761-80b3-b690452350c9
Chlorophycota,,782,,,,,,grey/reject habitat,,63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75
"Eritrichthys leucogrammicus (unverified) [Soviet Fishery Data, 1998]",,705,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
"Poralepididae gen. sp. unknown [Soviet Fishery Data, 1998]",,700,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
PHYTO-FLAGELLATES,,692,,,,,,blue/DMT to process,,4aaa85a5-6cfb-45bf-9ca4-ca431db88849
Macrochlamys,,509,Mollusca,Gastropoda,Stylommatophora,Helicarionidae,Macrochlamys,blue/awaiting editor feedback,,c5687a17-e454-40f9-9a4b-d04b2c812d74
Alcyonidium,,467,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",110993,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 19abb100-fb94-4295-ab17-bb3e58674cf3; f7a8bd7b-1c7f-4c99-8e20-ecfabeb02e75; 63187f4a-1af9-4611-8f05-e806676ab55b; 598902d8-e0f8-4391-8323-69c4257e048f; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 12acbce5-cb41-48c4-bd80-6030b0f0a83f; 8acba7e7-2e50-4490-8328-b78a30472508
Phoronida spec,,467,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",1789,2102c55e-588b-4c35-96c7-822fd50c3437
"Ostraciontidae gen. sp. unknown [Soviet Fishery Data, 1998]",,449,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
Ophiothrix,,431,Echinodermata,Ophiuroidea,Ophiurida,Ophiotrichidae,Ophiothrix,"white/human intervention, resolvable to AphiaID",123626,c5687a17-e454-40f9-9a4b-d04b2c812d74
Nephtys spec,,416,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",129370,2102c55e-588b-4c35-96c7-822fd50c3437
Melanella,,414,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Melanella,white/typo: resolvable to AphiaID,137978,c5687a17-e454-40f9-9a4b-d04b2c812d74; 4a606f86-2e7b-44a3-b50d-3d55a887a11f; aa16d305-d413-4c4a-90be-b1ec3298d58d
UNIDENTIFIED,urn:lsid:marinespecies.org:taxname:,396,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Individuals per mass,,345,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Scomberomorus fasciatus (unverified) [Soviet Fishery Data, 1998]",,338,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
Unidentified - 8621,urn:lsid:marinespecies.org:taxname:,310,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Benthic foraminifera indeterminata,,299,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",1410,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Themisto,urn:lsid:marinespecies.org:taxname:147082,296,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,"white/human intervention, resolvable to AphiaID",101800,80479e14-2730-436d-acaa-b63bdc7dd06f
Unidentified - 632,urn:lsid:marinespecies.org:taxname:,286,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Unidentified - 4348,urn:lsid:marinespecies.org:taxname:,284,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Epigoninae,,284,,,,,,blue/DMT to process,,3b2a79a4-ef3c-4b0a-829a-9bcbc9f00e5c
Arca imbricata,,259,Mollusca,Bivalvia,Arcida,Arcidae,Arca,"white/human intervention, resolvable to AphiaID",215252,c5687a17-e454-40f9-9a4b-d04b2c812d74
Lagopus_lagopus,,252,,Aves,Galliformes,Phasianidae,Lagopus,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Rhizoplaca aspidophora,,249,Ascomycota,,,,Rhizoplaca,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Cossosphaerales,,243,,,,,,"black (unresolvable, looks like a scientific name)",,2fd06604-7d20-4712-9f68-eae9ae336bb5
Acentropus niveus,,235,,,,,,blue/DMT to process,,ec9df3b9-3b2b-4d83-881b-27bcbcd57b95; 8acba7e7-2e50-4490-8328-b78a30472508
UNID FISH AND INVERTEBRATES,urn:lsid:marinespecies.org:taxname:,232,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Nitzschia sp,,230,,,,,,grey/reject ambiguous,,047ce186-4302-4c3f-967f-ccae9d3a1804
Caloplaca regalis,,219,Ascomycota,,,,Caloplaca,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Coelotanypus,,217,,,,,,grey/reject habitat,,41a50544-957c-4193-8bbf-25a25f749e85
Unidentified - 8616,urn:lsid:marinespecies.org:taxname:,202,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Gyptis spec,,196,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",129307,2102c55e-588b-4c35-96c7-822fd50c3437
Chaetopterus,,195,,,,,,blue/DMT to process,,a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; 63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 21ed84e4-5bb0-4b15-b088-5d3e5880b67e; d29d7aa5-08e0-4c1f-9b1c-3b46b3b93563; 2ed8adcd-c829-4928-9a3a-804e58830f24; 8acba7e7-2e50-4490-8328-b78a30472508; 12acbce5-cb41-48c4-bd80-6030b0f0a83f; 579ff94c-c6a5-4589-9903-8ce3db8051d1; b1f8bc4c-5427-40c8-8728-aad4d463b944
Ondatra_zibethicus,,189,,Mammalia,Rodentia,Cricetidae,Ondatra,grey/reject habitat,,5ec2b358-fb82-4e1e-9813-212ba0e79d40
Alcyonidium,,184,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,"white/human intervention, loss of info, resolvable to AphiaID",110993,ea759464-5a9d-4b8c-83ce-858e57240d6e
Stylasterina,,183,,,,,,blue/DMT to process,,f7d8aa43-cdfe-4be2-82a6-88ee33c5c60c
Penguins,,166,,,,,,grey/reject species grouping,,5591f393-fc15-461f-ab1f-da45e72339ee
Obelia spec,,162,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",117034,2102c55e-588b-4c35-96c7-822fd50c3437
"Sphoeroides laevigatus (unverified) [Soviet Fishery Data, 1998]",,162,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
"Pyutnistu spinorog [Soviet Fishery Data, 1998]",,161,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
Paralichthinae,,154,,,,,,blue/DMT to process,,5f2da252-6d49-4c9f-b3b3-1db53d75b345; 513e4437-9cc7-4383-9a69-1bd18ec2046a; 0332e1b5-5525-4301-9659-ef3da3e4e2b6
Halophila,,149,Tracheophyta,Magnoliopsida,Alismatales,Hydrocharitaceae,Halophila,blue/DMT to process,,f7c79248-82fa-4d8e-901c-21ddf84750fc; 3a3c43f9-eff5-47f2-ab9a-967f09a5d70d
Globorotalia hirsuta sinistralis,,147,,,,,,blue/DMT to process,,b08e636b-f5be-4f7f-81db-bdafcdf68e57
Scyphospheres,,143,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Meiourogonyaulax maculatum,,143,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Buellia frigida,,142,Ascomycota,,,,Buellia,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Dissimulidinium lobispinosum,,141,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Eupanthalopsis beibuwausis,,136,,,,,,"black (unresolvable, looks like a scientific name)",,a0a3811f-4040-4ade-aa01-31c91e915938; 21ed84e4-5bb0-4b15-b088-5d3e5880b67e; 36fcf898-ebc2-493b-aa8b-9f864ffe5494; 2d120946-a510-4287-a7da-404277ebca5f
Notropis buccatus,,131,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,grey/reject habitat,,aa32f563-b2ea-471b-bca1-5410a17ca607; 65429205-459b-4600-bd4e-e3abe7aeab31; 4e88f9c8-868e-4b0a-bc48-3d409a5448fe; d9ad4dd5-5fd9-4c9c-9843-bfa04769b4f8; 80aaea0e-fdba-411c-bb52-4c0992638587
Lagopus_muta,,126,,Aves,Galliformes,Phasianidae,Lagopus,grey/reject habitat,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Acarospora macrocyclos,,123,Ascomycota,,,,Acarospora,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Ophiothrix sp.,,118,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",123626,89e23fc8-3f61-4480-9de3-358fe6eefe0b; 300cb5e2-4431-4ec8-af71-8c6078305e50; f7777a70-e23c-436a-a0cb-9200bf87e194
Endochironomus albipennis,,117,,,,,,blue/DMT to process,,43d19bf8-4d49-413b-bedb-4fa4547714fa; ec9df3b9-3b2b-4d83-881b-27bcbcd57b95; 373bacd9-e375-4513-8e98-f2e7f63275e4
Dicrotendipes,,114,,,,,,grey/reject habitat,,43d19bf8-4d49-413b-bedb-4fa4547714fa; 41a50544-957c-4193-8bbf-25a25f749e85
"Okunj with green stripes [Soviet Fishery Data, 1998]",,113,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
Ophtalium acutimarge,,112,,,,,,blue/DMT to process,,cdcddae2-a8e0-4c86-9e8d-f85134876937
Paralepidae,urn:lsid:itis.gov:itis_tsn:644668,110,,,,,,blue/DMT to process,,04e3fd32-b08b-4806-a016-d2dff52ae55a
Candelaria murrayi,,110,Ascomycota,,,,Candelaria,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Paralepidae,NA,108,,,,,,blue/DMT to process,,23f104bf-b4c9-4144-955d-121c583f20d2
Sipuncula spec,,106,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",1268,2102c55e-588b-4c35-96c7-822fd50c3437
Globocassidulina molluscensis,,105,,,,,,white/typo: resolvable to AphiaID,1027918,488f7e7c-1c38-468c-b11a-843c55b4ab01
Lecania brialmontii,,104,Ascomycota,,,,Lecania,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Flabellina,,102,Mollusca,Gastropoda,Nudibranchia,Flabellinidae,Flabellina,blue/DMT to process,,aa16d305-d413-4c4a-90be-b1ec3298d58d; c5687a17-e454-40f9-9a4b-d04b2c812d74
pr̩ciser dans les notes,,101,,,,,,black (no biota),,5ad4244f-895a-4b9c-99be-1f88f5369023
Chironomus anthracinus,,99,,,,,,grey/reject habitat,,43d19bf8-4d49-413b-bedb-4fa4547714fa
Unidentified - 4342,urn:lsid:marinespecies.org:taxname:,97,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Geminilithella rotula,,95,,,,,,grey/reject fossil,,38535a43-2982-4479-88c1-8303f7ee8665; b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Similamusium pauciliratum,,93,,,,,,blue/DMT to process,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
"Carcharhinus dorsalis (unverified) [Soviet Fishery Data, 1998]",,93,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
Unidentified - 1920,urn:lsid:marinespecies.org:taxname:,90,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Candelariella flava,,89,Ascomycota,,,,Candelariella,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Quiscalus mexicanus,,89,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,grey/reject habitat,,3e266456-c269-4007-b0d3-1a51926d817b; 0b1ec148-693f-4517-b112-386e17956314; f7eab7eb-9081-4bac-82ac-db33530e797a; 5a09b13c-6bab-431d-8de7-c7def1672b06; 6ea5869c-cb2f-495e-a99b-d100f1779109; 29271d9a-c768-4928-accc-7d61a52185d7; 948851ff-3387-45dc-a97b-87f381dbacbe
Menardella menardii sinistralis,,88,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Pseudopyrgo lagoei,,87,,,,,,blue/DMT to process,,5591f393-fc15-461f-ab1f-da45e72339ee
Conus leopardus,,85,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,white/typo: resolvable to AphiaID,215464,c5687a17-e454-40f9-9a4b-d04b2c812d74; 4a606f86-2e7b-44a3-b50d-3d55a887a11f; aa16d305-d413-4c4a-90be-b1ec3298d58d
sum Atradinium soucouyantae,,84,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
"Dicotylichthys myersi (unverified) [Soviet Fishery Data, 1998]",,83,,,,,,blue/awaiting editor feedback,,97d434fe-2a1b-47ab-8b76-7789685bf116
Black Yeasts,,83,,,,,,grey/reject species grouping,,e54ba46d-583f-416a-ba4f-bb388b1de043
"Harengula konigsbergeri (unverified) [Soviet Fishery Data, 1998]",,81,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
Unidentified - 251,urn:lsid:marinespecies.org:taxname:,81,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Rhinichthys osculus robustus,,80,Chordata,Actinopteri,Cypriniformes,Leuciscidae,Rhinichthys,grey/reject habitat,,d6af0fac-8a21-4d77-8872-f10d471fc0cf
Lipomyces sp.,,79,,,,,,blue/DMT to process,,e54ba46d-583f-416a-ba4f-bb388b1de043
Unidentified - 110,urn:lsid:marinespecies.org:taxname:,79,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Usnea sphacelata,,79,Ascomycota,,,,Usnea,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
"Carangoides diversa (unverified) [Soviet Fishery Data, 1998]",,79,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
"Zolotistaja sypepa [Soviet Fishery Data, 1998]",,78,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
Tubular agglutinants,,78,,,,,,blue/DMT to process,,6cd4445d-5d99-420b-98bf-2649b6731f0c
Cymatium parthenopeum,,78,Mollusca,Gastropoda,Littorinimorpha,Ranellidae,Cymatium,"white/human intervention, resolvable to AphiaID",572662,c5687a17-e454-40f9-9a4b-d04b2c812d74
Caloplaca holocarpa,,78,Ascomycota,,,,Caloplaca,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Diio remanei,,77,,,,,,"black (unresolvable, looks like a scientific name)",,e1df0eb1-0b1e-4f7a-bd85-e3df36bec1e8
Raie non identifi̩e,,76,,,,,,grey/reject species grouping,10216,15700106-b0f0-4134-b3d4-4d48acce406a
"Species indefinite [Soviet Fishery Data, 1998]",,76,,,,,,"black (unresolvable, looks like a scientific name)",,97d434fe-2a1b-47ab-8b76-7789685bf116
Chironomus semireductus gr.,,76,,,,,,grey/reject habitat,,ec9df3b9-3b2b-4d83-881b-27bcbcd57b95
Rhizocarpon geographicum,,75,Ascomycota,,,,Rhizocarpon,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Lumbriconereidae,,75,,,,,,blue/DMT to process,,4948203e-5c4f-4454-9e49-074f408afb9b
Spiophanes spec,,74,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",129626,2102c55e-588b-4c35-96c7-822fd50c3437
Chaetopterus,,71,Annelida,Polychaeta,,Chaetopteridae,Chaetopterus,blue/DMT to process,,c5687a17-e454-40f9-9a4b-d04b2c812d74; aa16d305-d413-4c4a-90be-b1ec3298d58d
Magelona spec,,71,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",129341,2102c55e-588b-4c35-96c7-822fd50c3437
Paratanytarsus,,70,,,,,,grey/reject habitat,,43d19bf8-4d49-413b-bedb-4fa4547714fa; 41a50544-957c-4193-8bbf-25a25f749e85
Peysonnelia,,70,,,,,,blue/DMT to process,,52e0bb96-d262-41ee-b586-88f4b6242a13
Glycera spec,,69,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",129296,2102c55e-588b-4c35-96c7-822fd50c3437
Tectatodinium minimum,,69,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Unidentified - 8617,urn:lsid:marinespecies.org:taxname:,69,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
"Adepogon raseigasta (unverified) [Soviet Fishery Data, 1998]",,69,,,,,,"black (unresolvable, looks like a scientific name)",,97d434fe-2a1b-47ab-8b76-7789685bf116
Centranthura caeca,,69,,,,,,"black (unresolvable, looks like a scientific name)",,4f46f9d8-dc63-4546-9dd5-075df3d25e4a; 2c30e8ee-3068-437c-bf94-499e06cdd4e4
Stictochironomus sticticus,,68,,,,,,blue/DMT to process,,43d19bf8-4d49-413b-bedb-4fa4547714fa; ec9df3b9-3b2b-4d83-881b-27bcbcd57b95
Pasteuriaceae,,68,,,,,,"black (unresolvable, looks like a scientific name)",,2fd06604-7d20-4712-9f68-eae9ae336bb5
Photis californica,,67,,,,,,grey/reject ambiguous,,41a50544-957c-4193-8bbf-25a25f749e85; 89e23fc8-3f61-4480-9de3-358fe6eefe0b
Polydora spec,,66,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",129619,2102c55e-588b-4c35-96c7-822fd50c3437
Natica gualtieriana,,66,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Natica,"white/human intervention, resolvable to AphiaID",569947,c5687a17-e454-40f9-9a4b-d04b2c812d74; aa16d305-d413-4c4a-90be-b1ec3298d58d
Unidentified - 8624,urn:lsid:marinespecies.org:taxname:,65,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Myleus rhomboidalis,,65,,,,,,grey/reject habitat,,705770e5-3474-4e69-be8b-3107a0c5610a; c24bf1c2-2c62-4056-a841-56d94e6e876a; b8617377-eb1c-4db2-baa6-8788a632e810
"Kamennaja ryba [Soviet Fishery Data, 1998]",,65,,,,,,blue/DMT to process,,97d434fe-2a1b-47ab-8b76-7789685bf116
Hyalascus maui,,64,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Hyalascus,blue/DMT to process,,6c813a6c-86f7-4d45-beb5-33eebd8de938
Piranga_olivacea,,63,,Aves,Passeriformes,Cardinalidae,Piranga,grey/reject habitat,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Regulus_calendula,,63,,Aves,Passeriformes,Reguliidae,Regulus,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Patellacea,,63,,,,,,blue/DMT to process,,19abb100-fb94-4295-ab17-bb3e58674cf3; 63187f4a-1af9-4611-8f05-e806676ab55b; ebe7ffad-b134-40d3-b3df-21b675c4bcb1
Stelgidopteryx_serripennis,,63,,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Passer_domesticus,,63,,Aves,Passeriformes,Passeridae,Passer,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Vireo_philadelphicus,,63,,Aves,Passeriformes,Vireonidae,Vireo,grey/reject habitat,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Zenaida_macroura,,63,,Aves,Columbiformes,Columbidae,Zenaida,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Vireo_gilvus,,63,,Aves,Passeriformes,Vireonidae,Vireo,grey/reject habitat,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Vireo_olivaceus,,63,,Aves,Passeriformes,Vireonidae,Vireo,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Troglodytes_aedon,,63,,Aves,Passeriformes,Troglodytidae,Troglodytes,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Icterus_galbula,,63,,Aves,Passeriformes,Icteridae,Icterus,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Mimus_polyglottos,,63,,Aves,Passeriformes,Mimidae,Mimus,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Columba_livia,,63,,Aves,Columbiformes,Columbidae,Columba,grey/reject habitat,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Catharus_fuscescens,,63,,Aves,Passeriformes,Turdidae,Catharus,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Archilochus_colubris,,63,,Aves,Apodiformes,Trochilidae,Archilochus,grey/reject habitat,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Bombycilla_cedrorum,,63,,Aves,Passeriformes,Bombycillidae,Bombycilla,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Catharus_ustulatus,,63,,Aves,Passeriformes,Turdidae,Catharus,grey/reject species grouping,,6b6ae0c9-662d-4a81-8caf-dd189db81f88
Alcyonidium,,62,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,"white/human intervention, loss of info, resolvable to AphiaID",110993,c5687a17-e454-40f9-9a4b-d04b2c812d74; aa16d305-d413-4c4a-90be-b1ec3298d58d
Areosphaeridium actinocoronatum,,62,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Lumbrinereis latreilli,,62,,,,,,white/typo: resolvable to AphiaID,130248,d29d7aa5-08e0-4c1f-9b1c-3b46b3b93563; 2ed8adcd-c829-4928-9a3a-804e58830f24; 579ff94c-c6a5-4589-9903-8ce3db8051d1
Iophanes duplex,,62,,,,,,blue/DMT to process,,e1df0eb1-0b1e-4f7a-bd85-e3df36bec1e8
Pithonella discoidea,,62,,,,,,blue/DMT to process,,6897b33d-8865-4a9b-ae13-2d73cd33d1e5
Themisto,,61,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,"white/human intervention, resolvable to AphiaID",101800,f7e3baa2-48c9-47d9-9219-0a457615d610; aa16d305-d413-4c4a-90be-b1ec3298d58d
Xanthoria mawsonii,,61,Ascomycota,,,,Xanthoria,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Acarospora convoluta,,60,Ascomycota,,,,Acarospora,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Phagicola diminuta,,60,,,,,,blue/DMT to process,,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537
Ophiothrix,,60,,,,,,"white/human intervention, resolvable to AphiaID",123626,982d4bc2-c3f1-4018-befd-ed34b101e4b1; a9a3bdc6-209f-4c66-aafd-ce5271cb63b3; ebe7ffad-b134-40d3-b3df-21b675c4bcb1; 28ccee1e-8f1a-400b-a112-86536192a402; dadd8252-0f72-417a-be62-9bde09e93c61
Ophiura mirabilis,,60,,,,,,blue/DMT to process,,28ccee1e-8f1a-400b-a112-86536192a402
Globigerinita glutinata ambitacrena,,59,,,,,,grey/reject fossil,,38535a43-2982-4479-88c1-8303f7ee8665
Halophila,,59,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Halophila,blue/DMT to process,,c5687a17-e454-40f9-9a4b-d04b2c812d74
